,0
181,82.10709
182,86.28108
183,87.28755
184,86.38989
185,86.69328
186,83.349144
187,86.563805
188,86.84611
189,82.10709
190,82.26272
191,83.159645
192,82.10709
193,82.358284
194,82.95698
195,82.19494
196,83.50256
197,82.185814
198,82.34698
199,82.41514
200,83.320885
201,82.418816
202,81.74926
203,83.28285
204,82.10709
205,83.280945
206,83.28065
207,82.10709
208,82.10709
209,82.10709
210,82.19494
211,82.398384
212,82.10709
213,82.3992
214,82.28792
215,82.34122
216,82.23941
217,82.10709
218,82.10709
219,82.10709
220,82.21872
221,82.10709
222,82.22338
223,82.00632
224,82.96679
225,80.055725
226,82.32663
227,82.10709
228,82.31025
229,82.10709
230,86.16448
231,81.82246
232,83.4472
233,83.477425
234,83.36688
235,82.08789
236,81.9796
237,81.66132
238,83.02584
239,82.10709
240,82.42603
241,86.736565
242,86.089676
243,86.09045
244,82.36191
245,83.179085
246,82.10709
247,82.27151
248,80.46008
249,82.422325
250,82.43058
251,82.21016
252,86.09414
253,86.09347
254,85.609604
255,87.00393
256,85.72778
257,82.10709
258,82.10709
259,81.40679
260,81.98025
261,82.10709
262,83.372826
263,82.10709
264,82.10709
265,82.10709
266,80.12001
267,82.10709
268,82.330376
269,82.330376
270,82.212074
271,83.150085
272,82.10709
273,81.86748
274,82.10709
275,83.1497
276,82.21872
277,82.10709
278,82.10709
279,82.10709
280,82.12163
281,80.62217
282,82.40887
283,82.10709
284,82.10709
285,82.10709
286,82.37059
287,85.710655
288,86.29496
289,86.27436
290,86.09321
291,82.10709
292,82.10709
293,82.10709
294,82.10709
295,82.10709
296,85.82109
297,86.09138
298,80.02348
299,82.10709
300,86.31
301,82.10709
302,83.40305
303,86.06991
304,86.26642
305,86.08793
306,86.2864
307,82.10709
308,82.10709
309,80.29332
310,86.19777
311,83.28431
312,86.087204
313,82.10709
314,82.10709
315,82.10709
316,82.10709
317,82.10709
318,82.10709
319,82.10709
320,82.10709
321,82.10709
322,82.10709
323,82.10709
324,86.09244
325,82.10709
326,86.08957
327,87.27939
328,86.090004
329,87.57592
330,82.10709
331,82.10709
332,82.10709
333,82.10709
334,82.10709
335,82.10709
336,82.10709
337,82.10709
338,83.34867
339,86.09338
340,86.090385
341,86.08742
342,82.10709
343,82.10709
344,82.10709
345,82.39386
346,82.10709
347,82.10709
348,83.34956
349,83.28063
350,82.24855
351,82.10709
352,82.382576
353,82.10709
354,83.28221
355,82.10709
356,82.10709
357,81.47099
358,86.092155
359,82.10709
360,82.220795
361,82.10709
362,82.152664
363,82.10709
364,82.10709
365,86.02344
366,86.07014
367,86.09196
368,82.28426
369,82.10709
370,83.47095
371,82.10709
372,82.10709
373,82.10709
374,82.36427
375,86.0916
376,86.3177
377,82.10709
378,82.10709
379,82.43387
380,82.10709
381,82.21872
382,82.10709
383,82.10709
384,82.10709
385,82.30584
386,82.10709
387,80.09341
388,82.10709
389,82.10709
390,82.10709
391,82.10709
392,82.10709
393,82.10709
394,82.10709
395,82.10709
396,82.10709
397,82.10709
398,83.372406
399,82.10709
400,82.10709
401,82.10709
402,82.10709
403,82.10709
404,82.10709
405,83.16158
406,82.10709
407,82.16798
408,82.434105
409,82.10709
410,86.080986
411,82.10709
412,82.10709
413,82.10709
414,82.10709
415,82.10709
416,82.10709
417,86.09295
418,84.94082
419,87.2196
420,87.223885
421,82.10709
422,86.09233
423,86.09331
424,86.08055
425,86.088974
426,86.19381
427,86.08964
428,82.21872
429,86.09363
430,86.09202
431,86.092606
432,86.079956
433,87.32655
