,residuals
4269,-1.0581283569335938
4276,-1.0581283569335938
4288,-1.0581283569335938
4294,-1.0581283569335938
4315,-1.0581283569335938
4320,-1.0581283569335938
4327,-1.0581283569335938
4339,-1.0581283569335938
4345,-1.0581283569335938
4366,-1.0581283569335938
4371,-1.0581283569335938
4378,-1.0581283569335938
4390,-1.0581283569335938
4396,-1.0581283569335938
4417,-1.0581283569335938
4422,-1.0581283569335938
4429,-1.0581283569335938
4441,-1.0581283569335938
4447,-1.0581283569335938
4468,-1.0581283569335938
4473,-1.0581283569335938
4480,-1.0581283569335938
4492,-1.0581283569335938
4498,-1.0581283569335938
4519,-1.0581283569335938
4524,-1.0581283569335938
4531,-1.0581283569335938
4543,-1.0581283569335938
4549,-1.0581283569335938
4570,-1.0581283569335938
4575,-1.0581283569335938
4582,-1.0581283569335938
4594,-1.0581283569335938
4600,-1.0581283569335938
4621,-1.0581283569335938
4626,-1.0581283569335938
4633,-1.0581283569335938
4645,-1.0581283569335938
4651,-1.0581283569335938
4672,-1.0581283569335938
4677,-1.0581283569335938
4684,-1.0581283569335938
4696,-1.0581283569335938
4702,-1.0581283569335938
4723,-1.0581283569335938
4728,-1.0581283569335938
4735,-1.0581283569335938
4747,-1.0581283569335938
4753,-1.0581283569335938
4774,-1.0581283569335938
4779,-1.0581283569335938
4786,-1.0581283569335938
4798,-1.0581283569335938
4804,-1.0581283569335938
4825,-1.0581283569335938
4830,-1.0581283569335938
4837,-1.0581283569335938
4849,-1.0581283569335938
4855,-1.0581283569335938
4876,-1.0581283569335938
4881,-1.0581283569335938
4888,-1.0581283569335938
4900,-1.0581283569335938
4906,-1.0581283569335938
4927,-1.0581283569335938
4932,-1.0581283569335938
4939,-1.0581283569335938
4951,-1.0581283569335938
4957,-1.0581283569335938
4978,-1.0581283569335938
4983,-1.0581283569335938
4990,-1.0581283569335938
5002,-1.0581283569335938
5008,-1.0581283569335938
5029,-1.0581283569335938
5034,-1.0581283569335938
5041,-1.0581283569335938
5053,-1.0581283569335938
